zona,actividad,valor
Honduras,160,10
Honduras,77,3369
Honduras,110,166
Honduras,8,969
Honduras,204,146
Honduras,208,295
Honduras,103,36
Honduras,206,40
Honduras,217,2
Honduras,37,178
Honduras,281,3
Honduras,315,2
Honduras,43,4865
Honduras,227,44
Honduras,274,14
Honduras,45,80
Honduras,279,33
Honduras,263,78
Honduras,271,3
Honduras,123,13
Honduras,128,5
Honduras,323,1
Honduras,18,415
Honduras,251,986
Honduras,78,827
Honduras,176,306
Honduras,1,2558
Honduras,54,1
Honduras,56,30
Honduras,52,24
Honduras,186,11
Honduras,33,1021
Honduras,99,249
Honduras,149,2772
Honduras,125,15
Honduras,282,46
Honduras,283,3
Honduras,302,61
Honduras,304,92
Honduras,216,1585
Honduras,32,29
Honduras,13,1741
Honduras,94,610
Honduras,164,33
Honduras,294,81
Honduras,189,31
Honduras,47,12148
Honduras,288,10
Honduras,246,696
Honduras,119,611
Honduras,276,80
Honduras,26,900
Honduras,308,615
Honduras,228,202
Honduras,57,24
Honduras,14,1001
Honduras,253,4894
Honduras,55,40
Honduras,214,23
Honduras,259,22
Honduras,108,34
Honduras,158,13
Honduras,96,55
Honduras,194,8
Honduras,6,138
Honduras,127,139
Honduras,254,1
Honduras,44,144
Honduras,41,2106
Honduras,68,57
Honduras,198,96
Honduras,40,119
Honduras,138,28
Honduras,106,4
Honduras,268,60
Honduras,130,2773
Honduras,243,391
Honduras,34,1650
Honduras,51,6
Honduras,22,259
Honduras,188,16
Honduras,264,47
Honduras,218,108
Honduras,260,1
Honduras,238,17
Honduras,318,8
Honduras,143,224
Honduras,313,15
Honduras,2,1333
Honduras,316,2344
Honduras,169,1168
Honduras,278,7
Honduras,150,503
Honduras,129,4317
Honduras,67,23
Honduras,270,22
Honduras,72,2
Honduras,173,2
Honduras,3,48
Honduras,131,17
Honduras,213,222
Honduras,60,12
Honduras,39,21
Honduras,182,32
Honduras,266,116
Honduras,46,9
Honduras,155,47
Honduras,42,463
Honduras,309,49
Honduras,98,199
Honduras,174,686
Honduras,64,16
Honduras,175,210
Honduras,93,41
Honduras,314,3
Honduras,205,666
Honduras,28,1076
Honduras,185,7680
Honduras,24,8618
Honduras,49,551
Honduras,233,529
Honduras,255,48
Honduras,262,781
Honduras,11,188
Honduras,320,144
Honduras,142,5
Honduras,0,137692
Honduras,62,3041
Honduras,25,6687
Honduras,35,748
Honduras,29,110
Honduras,30,1238
Honduras,207,205
Honduras,81,49
Honduras,79,631
Honduras,102,381
Honduras,16,1065
Honduras,132,685
Honduras,141,701
Honduras,10,173
Honduras,162,97
Honduras,21,206
Honduras,303,1478
Honduras,83,1397
Honduras,50,394
Honduras,116,332
Honduras,137,55
Honduras,229,29
Honduras,101,5
Honduras,75,4111
Honduras,154,297
Honduras,179,25
Honduras,273,29
Honduras,163,57
Honduras,9,921
Honduras,5,544
Honduras,105,107
Honduras,63,6
Honduras,329,2
Honduras,161,2
Honduras,121,2944
Honduras,114,2216
Honduras,117,129
Honduras,156,16
Honduras,107,26
Honduras,74,97
Honduras,181,1
Honduras,53,215
Honduras,146,350
Honduras,306,8860
Honduras,145,16
Honduras,69,64
Honduras,19,152
Honduras,195,64
Honduras,80,43
Honduras,215,32
Honduras,301,69
Honduras,126,3
Honduras,177,231
Honduras,220,471
Honduras,319,58
Honduras,310,8
Honduras,224,15
Honduras,252,257
Honduras,100,178
Honduras,151,12
Honduras,324,4
Honduras,219,63
Honduras,136,127
Honduras,92,14604
Honduras,7,88
Honduras,180,2006
Honduras,267,570
Honduras,209,23
Honduras,248,205
Honduras,23,330
Honduras,97,111
Honduras,134,165
Honduras,38,20
Honduras,223,37
Honduras,153,4
Honduras,20,250
Honduras,312,3
Honduras,311,66
Honduras,222,14
Honduras,76,1351
Honduras,61,39
Honduras,27,61
Honduras,118,1
Honduras,17,287
Honduras,172,61
Honduras,12,30
Honduras,135,217
Honduras,280,2
Honduras,331,1
